Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas536      Pavarde536     8    6    5    6    4    8       
Vardas537      Pavarde537     6    3    4    7    9    2       
Vardas538      Pavarde538     7    10   3    7    9    3       
Vardas539      Pavarde539     8    9    2    10   4    6       
Vardas540      Pavarde540     2    1    8    6    3    9       
Vardas541      Pavarde541     5    9    1    2    8    7       
Vardas542      Pavarde542     10   2    2    6    8    3       
Vardas543      Pavarde543     3    9    1    3    1    4       
Vardas544      Pavarde544     4    3    3    6    7    5       
Vardas545      Pavarde545     4    7    10   4    8    7       
Vardas546      Pavarde546     6    5    7    3    8    10      
Vardas547      Pavarde547     10   7    8    10   3    5       
Vardas548      Pavarde548     10   9    10   5    8    3       
Vardas549      Pavarde549     8    1    4    2    5    7       
Vardas550      Pavarde550     5    6    2    10   3    7       
Vardas551      Pavarde551     3    6    2    3    2    5       
Vardas552      Pavarde552     7    4    9    9    5    2       
Vardas553      Pavarde553     3    8    10   6    8    2       
Vardas554      Pavarde554     7    2    9    4    9    6       
Vardas555      Pavarde555     5    3    8    10   7    5       
Vardas556      Pavarde556     7    10   8    5    1    7       
Vardas557      Pavarde557     4    7    8    8    9    2       
Vardas558      Pavarde558     3    7    7    2    1    6       
Vardas559      Pavarde559     10   7    2    10   7    1       
Vardas560      Pavarde560     9    10   2    5    5    3       
Vardas561      Pavarde561     1    9    4    1    5    1       
Vardas562      Pavarde562     4    4    2    2    9    4       
Vardas563      Pavarde563     7    6    7    10   6    10      
Vardas564      Pavarde564     8    1    8    6    9    7       
Vardas565      Pavarde565     5    3    4    5    1    9       
Vardas566      Pavarde566     8    3    9    7    10   9       
Vardas567      Pavarde567     7    1    5    4    2    7       
Vardas568      Pavarde568     4    8    7    8    10   9       
Vardas569      Pavarde569     10   10   8    2    2    5       
Vardas570      Pavarde570     4    3    4    1    8    3       
Vardas571      Pavarde571     9    2    4    3    9    10      
Vardas572      Pavarde572     9    4    10   7    9    1       
Vardas573      Pavarde573     3    2    5    2    4    9       
Vardas574      Pavarde574     6    8    1    5    6    3       
Vardas575      Pavarde575     8    8    3    2    5    4       
Vardas576      Pavarde576     5    6    3    5    7    5       
Vardas577      Pavarde577     1    1    8    6    5    10      
Vardas578      Pavarde578     8    2    7    10   9    6       
Vardas579      Pavarde579     9    3    6    9    2    2       
Vardas580      Pavarde580     4    4    10   4    9    7       
Vardas581      Pavarde581     5    6    10   6    9    1       
Vardas582      Pavarde582     6    10   7    6    5    5       
Vardas583      Pavarde583     8    10   7    9    9    6       
Vardas584      Pavarde584     10   8    5    10   8    5       
Vardas585      Pavarde585     1    3    9    10   3    9       
Vardas586      Pavarde586     10   9    8    5    1    6       
Vardas587      Pavarde587     6    6    1    1    1    5       
Vardas588      Pavarde588     9    2    6    4    10   3       
Vardas589      Pavarde589     2    8    5    1    9    7       
Vardas590      Pavarde590     10   6    7    3    9    3       
Vardas591      Pavarde591     9    9    3    10   5    3       
Vardas592      Pavarde592     5    2    2    8    10   3       
Vardas593      Pavarde593     10   7    1    6    10   5       
Vardas594      Pavarde594     2    10   9    5    8    6       
Vardas595      Pavarde595     9    1    10   8    1    10      
Vardas596      Pavarde596     2    4    1    1    9    10      
Vardas597      Pavarde597     10   4    7    4    5    2       
Vardas598      Pavarde598     8    8    3    7    9    9       
Vardas599      Pavarde599     1    7    1    6    9    3       
Vardas600      Pavarde600     8    3    6    1    9    4       
Vardas601      Pavarde601     4    5    8    3    2    2       
Vardas602      Pavarde602     4    6    10   2    5    7       
Vardas603      Pavarde603     10   7    5    8    5    3       
Vardas604      Pavarde604     3    3    6    9    7    8       
Vardas605      Pavarde605     7    1    9    2    10   1       
Vardas606      Pavarde606     9    5    1    3    9    6       
Vardas607      Pavarde607     6    2    6    6    9    1       
Vardas608      Pavarde608     3    4    4    8    10   1       
Vardas609      Pavarde609     6    6    5    10   3    2       
Vardas610      Pavarde610     10   6    6    4    6    8       
Vardas611      Pavarde611     10   1    3    9    9    6       
Vardas612      Pavarde612     9    6    1    2    7    6       
Vardas613      Pavarde613     4    3    8    3    7    7       
Vardas614      Pavarde614     9    6    5    7    3    1       
Vardas615      Pavarde615     7    6    2    3    10   4       
Vardas616      Pavarde616     1    3    2    5    6    8       
Vardas617      Pavarde617     1    9    4    1    7    3       
Vardas618      Pavarde618     1    5    4    10   5    4       
Vardas619      Pavarde619     5    2    9    2    1    10      
Vardas620      Pavarde620     10   10   5    2    9    5       
Vardas621      Pavarde621     2    10   3    5    9    9       
Vardas622      Pavarde622     6    7    3    6    9    1       
Vardas623      Pavarde623     8    7    7    3    5    9       
Vardas624      Pavarde624     4    6    9    9    2    10      
Vardas625      Pavarde625     3    5    4    7    8    5       
Vardas626      Pavarde626     3    4    5    6    4    1       
Vardas627      Pavarde627     10   3    9    10   2    2       
Vardas628      Pavarde628     4    5    7    7    4    6       
Vardas629      Pavarde629     2    9    2    3    3    4       
Vardas630      Pavarde630     10   8    8    5    2    7       
Vardas631      Pavarde631     5    1    5    3    6    5       
Vardas632      Pavarde632     1    5    1    1    9    5       
Vardas633      Pavarde633     4    6    6    6    10   10      
Vardas634      Pavarde634     2    3    1    5    5    1       
Vardas635      Pavarde635     4    9    3    9    2    1       
Vardas636      Pavarde636     10   3    3    1    1    8       
Vardas637      Pavarde637     8    10   10   7    1    5       
Vardas638      Pavarde638     4    6    9    4    10   5       
Vardas639      Pavarde639     2    2    2    8    7    7       
Vardas640      Pavarde640     1    6    3    2    9    1       
Vardas641      Pavarde641     10   2    5    9    9    4       
Vardas642      Pavarde642     1    3    6    5    1    10      
Vardas643      Pavarde643     6    7    9    8    8    3       
Vardas644      Pavarde644     4    10   9    7    8    4       
Vardas645      Pavarde645     4    6    8    3    9    5       
Vardas646      Pavarde646     3    10   6    5    3    5       
Vardas647      Pavarde647     10   8    7    1    3    3       
Vardas648      Pavarde648     2    2    3    7    5    8       
Vardas649      Pavarde649     6    6    10   5    9    6       
Vardas650      Pavarde650     4    9    3    10   2    9       
Vardas651      Pavarde651     9    10   3    1    3    6       
Vardas652      Pavarde652     1    3    9    9    5    10      
Vardas653      Pavarde653     1    1    9    4    6    5       
Vardas654      Pavarde654     4    4    7    7    5    2       
Vardas655      Pavarde655     7    10   8    7    5    5       
Vardas656      Pavarde656     7    4    8    10   9    10      
Vardas657      Pavarde657     7    7    1    10   10   2       
Vardas658      Pavarde658     3    4    9    9    8    4       
Vardas659      Pavarde659     6    3    9    10   1    1       
Vardas660      Pavarde660     4    3    4    6    8    9       
Vardas661      Pavarde661     1    5    7    10   5    2       
Vardas662      Pavarde662     10   7    3    7    4    5       
Vardas663      Pavarde663     6    6    5    10   2    10      
Vardas664      Pavarde664     5    4    8    8    2    6       
Vardas665      Pavarde665     9    9    1    1    2    8       
Vardas666      Pavarde666     2    1    2    3    1    1       
Vardas667      Pavarde667     2    9    2    8    8    9       
Vardas668      Pavarde668     10   1    2    2    5    1       
Vardas669      Pavarde669     1    9    5    9    3    3       
Vardas670      Pavarde670     1    7    3    1    3    8       
Vardas671      Pavarde671     3    10   5    8    4    3       
Vardas672      Pavarde672     1    8    4    9    4    10      
Vardas673      Pavarde673     7    4    2    7    3    4       
Vardas674      Pavarde674     4    9    2    4    6    7       
Vardas675      Pavarde675     4    1    2    3    2    4       
Vardas676      Pavarde676     4    6    2    2    5    8       
Vardas677      Pavarde677     8    7    1    4    2    8       
Vardas678      Pavarde678     9    10   3    8    10   5       
Vardas679      Pavarde679     4    8    2    6    7    3       
Vardas680      Pavarde680     10   2    8    2    7    10      
Vardas681      Pavarde681     1    4    4    1    3    3       
Vardas682      Pavarde682     10   7    6    6    5    8       
Vardas683      Pavarde683     1    1    7    8    10   3       
Vardas684      Pavarde684     10   3    2    10   2    10      
Vardas685      Pavarde685     6    5    5    1    7    4       
Vardas686      Pavarde686     10   7    1    6    5    4       
Vardas687      Pavarde687     3    9    4    10   8    7       
Vardas688      Pavarde688     3    5    10   3    1    2       
Vardas689      Pavarde689     5    1    8    5    8    4       
Vardas690      Pavarde690     7    1    1    3    7    9       
Vardas691      Pavarde691     6    6    2    3    5    9       
